2021-12-06,638242,0.519375
2021-12-07,638242,-0.22541666666666668
2021-12-08,638242,-0.13444444444444448
2021-12-09,638242,-0.35701388888888874
2021-12-10,638242,0.2728472222222223
2021-12-11,638242,0.019214285714285705
2021-12-12,638242,1.5214583333333338
2021-12-06,721943,14.142361111111107
2021-12-07,721943,11.561041666666672
2021-12-08,721943,13.360208333333329
2021-12-09,721943,14.024166666666664
2021-12-10,721943,15.256597222222231
2021-12-11,721943,16.904027777777785
2021-12-12,721943,11.815902777777774
2021-12-06,946738,16.647083333333327
2021-12-07,946738,14.10166666666667
2021-12-08,946738,12.42798611111111
2021-12-09,946738,14.14659722222222
2021-12-10,946738,15.266805555555553
2021-12-11,946738,15.990624999999998
2021-12-12,946738,15.707777777777782
